id;hs4_id;hs6;label;present;meta;updated_at
93;16;021011;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:06:10.728176"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:51.575837
92;15;020990;- Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:05:22.311645"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:04.781844
105;17;030193;- - Carpes - - Carpes (Cyprinus spp., Carassius spp., Ctenopharyngodonidellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:19:27.159520"", ""parser_version"": ""v1.3""}";2026-01-20 16:21:59.182297
86;14;020830;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:54:10.103222"", ""parser_version"": ""v1.3""}";2026-01-20 15:56:14.841865
94;16;021012;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:06:11.207376"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:51.675083
97;16;021091;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:08:18.212936"", ""parser_version"": ""v1.3""}";2026-01-20 16:09:14.232642
99;16;021093;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:11:39.802401"", ""parser_version"": ""v1.3""}";2026-01-20 16:12:28.771362
90;14;020890;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:02:20.002798"", ""parser_version"": ""v1.3""}";2026-01-20 16:03:02.329573
109;18;030214;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:28:17.389692"", ""parser_version"": ""v1.3""}";2026-01-20 16:29:09.954790
89;14;020860;- De chameaux et d'autres camélidés (Camelidés);True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:01:38.500307"", ""parser_version"": ""v1.3""}";2026-01-20 16:02:20.056515
101;17;030119;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:16:43.894436"", ""parser_version"": ""v1.3""}";2026-01-20 16:17:55.200359
95;16;021019;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:06:40.138668"", ""parser_version"": ""v1.3""}";2026-01-20 16:07:25.363951
113;18;030221;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:29:45.008532"", ""parser_version"": ""v1.3""}";2026-01-20 16:31:12.792863
103;17;030191;- - - - - - Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster);True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:16:51.978847"", ""parser_version"": ""v1.3""}";2026-01-20 16:18:18.811197
104;17;030192;- - Anguilles (Anguilla spp);True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:18:30.020825"", ""parser_version"": ""v1.3""}";2026-01-20 16:19:17.206881
106;17;030194;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:21:45.271813"", ""parser_version"": ""v1.3""}";2026-01-20 16:22:25.929200
110;18;030211;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:28:18.599522"", ""parser_version"": ""v1.3""}";2026-01-20 16:29:16.077701
108;17;030199;- - Autres£- - - d'eau douce :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:22:31.314588"", ""parser_version"": ""v1.3""}";2026-01-20 16:23:18.881080
111;18;030213;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:28:17.324494"", ""parser_version"": ""v1.3""}";2026-01-20 16:29:19.875587
114;18;030222;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:29:57.816927"", ""parser_version"": ""v1.3""}";2026-01-20 16:31:21.878740
